"id","country","city","name","state","zipcode","date"
"0","","","","","",""
"91","usa","tuscaloosa","univ of ala-tuscaloosa","al","35487","8/23/2017"
"124","usa","mission","metropolitan community college","bc","v2v 3v5","8/23/2017"
"129","usa","normal","illinois state university","il","61790","8/23/2017"
"164","usa","greensboro","north carolina a& st univ","nc","27411-0002","8/23/2017"
"166","usa","edwardsville","so illinois u-edwardsville","il","62026-0001","8/23/2017"
"218","usa","orlando","univ of central florida","fl","32816-0001","8/23/2017"
"221","usa","wahpeton","north dakota global online campus","nd","58076","8/23/2017"
"253","usa","keysville","vccs - southside va cc - daniel","va","23947-3559","8/23/2017"
"271","usa","mississippi stat","mississippi state univ","ms","39762","8/23/2017"
"327","usa","hampden sydney","hampden-sydney college","va","23943","8/23/2017"
"368","usa","laredo","texas a&m international u","tx","78041","8/23/2017"
"387","usa","white bear lake","century comm tech college","mn","55110-1842","8/23/2017"
"407","usa","college station","texas a&m univ - college stn","tx","77843","2/10/2015"
"483","usa","commerce","texas a&m univ - commerce","tx","75428","2/13/2015"
"494","usa","saddle river","prentice hall university","nj","07458-1813","2/16/2015"
"505","usa","tallahassee","florida agric & mech univ","fl","32307","2/17/2015"
"666","usa","shelbyville","kctcs-jefferson-shelby county","ky","40065-9447","11/15/2016"
"667","usa","san antonio","texas a&m university-san antonio","tx","78224","11/15/2016"
"757","usa","huntington bch","coastline cc-huntngtn wstmn","ca","92649","1/29/2016"
"801","usa","nj","test school s1","nj","1234","11/16/2016"
"830","usa","fresno","willow/intnl coll ctr","ca","93730-5401","11/22/2016"
"832","usa","brooklyn","a&m schwartz coll pharmacy","ny","11201-5423","11/23/2016"
"837","usa","decatur","inst for construction educ","il","62526-2158","11/27/2016"
"874","usa","elkins","davis &elkins college","wv","26241-3971","1/29/2016"
"903","usa","san antonio","ccc group inc","tx","78219","1/29/2016"
"920","usa","greenvale","long island univ - cw post ctr","ny","11548-1319","1/30/2016"
"928","usa","corpus christi","texas a&m univ - corpus christi","tx","78412","12/6/2016"
"968","usa","pocatello","idaho state university","id","83209","1/30/2016"
"970","usa","galveston","texas a&m univ - galveston","tx","77553","1/30/2016"
"996","usa","kingsville","texas a&m univ - kingsville","tx","78363","8/23/2017"
"1046","usa","los altos hills","foothill c -los altos hills","ca","94022","1/31/2016"
"1070","usa","orono","univ of maine at orono","me","4469","1/31/2016"
"1137","usa","owensboro","kctcs-owensboro-downtown","ky","42301-4806","3/24/2015"
"1139","usa","los angeles","ucla - los angeles","ca","90095","3/30/2015"
"1145","usa","lenexa","a&l underground inc","ks","66215","4/7/2015"
"1148","usa","columbus","inside sales","oh","43235","4/9/2015"
"1174","usa","jacksonville","jacksonville st university","al","36265-1602","1/5/2017"
"1281","usa","eden prairie","wol-abc minnesota","mn","55344","5/7/2015"
"1324","usa","catonsville","cc baltimore cty - catonsville","md","21228-5317","2/3/2016"
"1378","usa","don mills","pearson university","on","m3c 2t8","1/10/2017"
"1381","usa","pittsburgh","cc allegheny co-allegheny","pa","15212-6003","2/5/2016"
